Venue,City,Country,lat,long
New York New Jersey Stadium,New York/New Jersey,United States,40.8135064,-74.074457
Kansas City Stadium,Kansas City,United States,39.0489647,-94.4840141
San Francisco Bay Area Stadium,San Francisco Bay Area,United States,37.4033165,-121.9693774
Atlanta Stadium,Atlanta,United States,33.7553232,-84.40059049999999
Miami Stadium,Miami,United States,25.7616798,-80.1917902
Houston Stadium,Houston,United States,29.6847219,-95.41070739999999
Dallas Stadium,Dallas,United States,32.7480281,-97.09281240000001
Los Angeles Stadium,Los Angeles,United States,33.9534765,-118.3390235
Philadelphia Stadium,Philadelphia,United States,39.9014189,-75.1675992
Boston Stadium,Boston,United States,42.09092740000001,-71.264363
Seattle Stadium,Seattle,United States,47.5951518,-122.3316394
BC Place Vancouver,Vancouver,Canada,49.2827291,-123.1207375
Toronto Stadium,Toronto,Canada,43.6331948,-79.41856349999999
Mexico City Stadium,Mexico City,Mexico,19.3028607,-99.1505277
Monterrey Stadium,Monterrey,Mexico,25.6691508,-100.2444429
Guadalajara Stadium,Guadalajara,Mexico,20.6817764,-103.4626455
